ORIGIN;;DESTINATION;;TTE;;20' E;20' (< 8tn);20' (< 16,5tn);20' (< 22tn);20' (< 32tn);20' (> 32tn);25' E;25' (< 8tn);25' (< 16,5tn);25' (< 22tn);25' (< 32tn);25' (> 32tn);30' E;30' (< 8tn);30' (< 16,5tn);30' (< 22tn);30' (< 32tn);30' (> 32tn);40' E;40' (< 8tn);40' (< 16,5tn);40' (< 22tn);40' (< 32tn);40'(> 32tn);45' E;45' (< 8tn);45' (< 16,5tn);45' (< 22tn);45' (< 32tn);45' (> 32tn);BOOKING FEE;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RED MULTICLIENTE RENFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F (>20,5 tn);20' F (>30 tn);;;;;;;30' E;30' F;30' F;30' F;30' F;30' F (>30tn);40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;0;;;;
ZARAGOZA PLAZA;FOT;BARCELONA MORROT;FOT;2;3;168,92;194,44;194,44;210,45;224,46;254,48;;;;;;;182,53;210,45;210,45;210,45;224,46;254,48;198,34;224,46;224,46;224,46;224,46;254,48;219,95;254,48;254,48;254,48;254,48;254,48;30;;;;
ZARAGOZA PLAZA;FOT;BILBAO MERCANCÍAS;FOT;2;3;179,27;207,17;207,17;224,68;240;272,83;;;;;;;194,15;224,68;224,68;224,68;240;272,83;207,17;240;240;240;240;272,83;235,07;272,83;272,83;272,83;272,83;272,83;30;;;;
ZARAGOZA PLAZA;FOT;BILBAO NOATUM;FOT;2;3;214,27;242,17;242,17;259,68;275;312,83;;;;;;;229,15;259,68;259,68;259,68;275;312,83;242,17;275;275;275;275;312,83;275,07;312,83;312,83;312,83;312,83;312,83;30;;;;
ZARAGOZA PLAZA;FOT;MADRID ABROÑIGAL;FOT;2;7;179,09;207,11;207,11;224,69;240,07;269,03;;;;;;;194,03;224,69;224,69;224,69;240,07;269,03;207,11;240,07;240,07;240,07;240,07;269,03;235,12;269,03;269,03;269,03;269,03;269,03;30;;;;
ZARAGOZA PLAZA;FOT;SAN ROQUE;FOT;3;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
ZARAGOZA PLAZA;FOT;SEVILLA LA NEGRILLA;FOT;3;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
ZARAGOZA PLAZA;FOT;VIGO GUIXAR;FOT;2;3;261,01;421,14;421,14;458,86;491,87;562,61;;;;;;;393,08;458,86;458,86;458,86;491,87;562,61;421,14;491,87;491,87;491,87;491,87;562,61;481,26;562,61;562,61;562,61;562,61;562,61;30;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F;20' F;25' E;25' F;25' F;25' F;25' F;25' F;30' E;30' F;30' F;30' F;30' F;30' F;40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;;;;;
BETTEMBOURG;FOT;LE BOLOU AMBROGGIO;FOT;2;5;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;665;665;665;665;665;665;665;665;665;665;665;665;;;;;
LE BOLOU AMBROGGIO;FOT;BETTEMBOURG;FOT;2;5;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;665;665;665;665;665;665;665;665;665;665;665;665;;;;;
ANTWERPEN COMBINANT;FOT;LE BOLOU AMBROGGIO;FOT;2;5;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;890;890;890;890;890;890;890;890;890;890;890;890;;;;;
